surrogate_setting,dataset,target_type,target_item,victim_model,method,metric,k,attack_size,value
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,mrr,10,0.01,0.0128579826992525
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,mrr,20,0.01,0.0156491055606785
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,mrr,30,0.01,0.0173195894581532
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,mrr,40,0.01,0.0184464765908472
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,mrr,50,0.01,0.0192789744216429
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,recall,10,0.01,0.0425909494232475
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,recall,20,0.01,0.0843767458674291
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,recall,30,0.01,0.1262611324723126
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,recall,40,0.01,0.1658615136876006
SR-GNN,diginetica,popular,3316,tron,TC-SACP-C,recall,50,0.01,0.2035722501561011
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,mrr,10,0.01,0.017584298499708
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,mrr,20,0.01,0.0258552211529501
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,mrr,30,0.01,0.0303737741241932
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,mrr,40,0.01,0.0330395610446182
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,mrr,50,0.01,0.0347895299338397
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,recall,10,0.01,0.0912616254231161
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,recall,20,0.01,0.214926550330277
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,recall,30,0.01,0.3282230766702816
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,recall,40,0.01,0.4219001610305958
SR-GNN,diginetica,popular,3316,tron,TC-SACP-G,recall,50,0.01,0.5009694699135693
SR-GNN,diginetica,popular,3316,wearec,CLEAN,mrr,10,0.01,0.0001327054861512
SR-GNN,diginetica,popular,3316,wearec,CLEAN,mrr,20,0.01,0.0001618650937531
SR-GNN,diginetica,popular,3316,wearec,CLEAN,mrr,30,0.01,0.0001725425491776
SR-GNN,diginetica,popular,3316,wearec,CLEAN,mrr,40,0.01,0.0001848715307365
SR-GNN,diginetica,popular,3316,wearec,CLEAN,mrr,50,0.01,0.0001917541040568
SR-GNN,diginetica,popular,3316,wearec,CLEAN,recall,10,0.01,0.0002136120148542
SR-GNN,diginetica,popular,3316,wearec,CLEAN,recall,20,0.01,0.0006736994314634
SR-GNN,diginetica,popular,3316,wearec,CLEAN,recall,30,0.01,0.0009530382201189
SR-GNN,diginetica,popular,3316,wearec,CLEAN,recall,40,0.01,0.0013966939432777
SR-GNN,diginetica,popular,3316,wearec,CLEAN,recall,50,0.01,0.001708896118834
SR-GNN,diginetica,popular,3316,wearec,CREAT,mrr,10,0.01,0.0038877256293208
SR-GNN,diginetica,popular,3316,wearec,CREAT,mrr,20,0.01,0.0059919146865786
SR-GNN,diginetica,popular,3316,wearec,CREAT,mrr,30,0.01,0.0080473391839004
SR-GNN,diginetica,popular,3316,wearec,CREAT,mrr,40,0.01,0.0102789112868435
SR-GNN,diginetica,popular,3316,wearec,CREAT,mrr,50,0.01,0.0122979070688143
SR-GNN,diginetica,popular,3316,wearec,CREAT,recall,10,0.01,0.0178119557001544
SR-GNN,diginetica,popular,3316,wearec,CREAT,recall,20,0.01,0.0497715994610404
SR-GNN,diginetica,popular,3316,wearec,CREAT,recall,30,0.01,0.1023037234217358
SR-GNN,diginetica,popular,3316,wearec,CREAT,recall,40,0.01,0.1814058956916099
SR-GNN,diginetica,popular,3316,wearec,CREAT,recall,50,0.01,0.2727332478885274
SR-GNN,diginetica,popular,3316,wearec,DPSBR,mrr,10,0.01,0.0046086596589406
SR-GNN,diginetica,popular,3316,wearec,DPSBR,mrr,20,0.01,0.0064272691528856
SR-GNN,diginetica,popular,3316,wearec,DPSBR,mrr,30,0.01,0.0084860034962341
SR-GNN,diginetica,popular,3316,wearec,DPSBR,mrr,40,0.01,0.0109482195137112
SR-GNN,diginetica,popular,3316,wearec,DPSBR,mrr,50,0.01,0.0138150768399149
SR-GNN,diginetica,popular,3316,wearec,DPSBR,recall,10,0.01,0.0142298465279831
SR-GNN,diginetica,popular,3316,wearec,DPSBR,recall,20,0.01,0.0419501133786848
SR-GNN,diginetica,popular,3316,wearec,DPSBR,recall,30,0.01,0.094876597982188
SR-GNN,diginetica,popular,3316,wearec,DPSBR,recall,40,0.01,0.1828354530217884
SR-GNN,diginetica,popular,3316,wearec,DPSBR,recall,50,0.01,0.3132866673239344
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,mrr,10,0.01,0.006502203672666
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,mrr,20,0.01,0.0079843895734591
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,mrr,30,0.01,0.0089741822194601
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,mrr,40,0.01,0.009764491935216
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,mrr,50,0.01,0.010356477676688
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,recall,10,0.01,0.0221006276906898
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,recall,20,0.01,0.0440862335272273
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,recall,30,0.01,0.068947385717572
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,recall,40,0.01,0.0968976962765782
SR-GNN,diginetica,popular,3316,wearec,Poisoning-SSL,recall,50,0.01,0.1237306516809622
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,mrr,10,0.01,0.0022061504611046
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,mrr,20,0.01,0.0043879818613071
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,mrr,30,0.01,0.0065289477804736
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,mrr,40,0.01,0.0093121453424315
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,mrr,50,0.01,0.0123646414881483
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,recall,10,0.01,0.0132439449209635
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,recall,20,0.01,0.0467974629465312
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,recall,30,0.01,0.1016135922968221
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,recall,40,0.01,0.2005323868677906
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-C,recall,50,0.01,0.339396628216504
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,mrr,10,0.01,0.0007121639392663
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,mrr,20,0.01,0.0017009776527733
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,mrr,30,0.01,0.0029885658903879
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,mrr,40,0.01,0.0050209118861052
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,mrr,50,0.01,0.0072668911674202
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,recall,10,0.01,0.0045187156988399
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,recall,20,0.01,0.0198166223010943
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,recall,30,0.01,0.0530908015380065
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,recall,40,0.01,0.1253738210259949
SR-GNN,diginetica,popular,3316,wearec,TC-SACP-G,recall,50,0.01,0.2274803641263268
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,mrr,10,0.01,0.00006150148119979532
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,mrr,20,0.01,0.00007888208092393501
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,mrr,30,0.01,0.00009369495194758952
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,mrr,40,0.01,0.0001187908030226
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,mrr,50,0.01,0.0001319296918581
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,recall,10,0.01,0.0001314535476026
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,recall,20,0.01,0.0004436557231588
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,recall,30,0.01,0.0008215846725163
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,recall,40,0.01,0.001708896118834
SR-GNN,diginetica,popular,4092,freqrec,CLEAN,recall,50,0.01,0.0022840053895954
SR-GNN,diginetica,popular,4092,freqrec,CREAT,mrr,10,0.01,0.0007386828667514
SR-GNN,diginetica,popular,4092,freqrec,CREAT,mrr,20,0.01,0.001449938451749
SR-GNN,diginetica,popular,4092,freqrec,CREAT,mrr,30,0.01,0.0021426337032862
SR-GNN,diginetica,popular,4092,freqrec,CREAT,mrr,40,0.01,0.0030639675088252
SR-GNN,diginetica,popular,4092,freqrec,CREAT,mrr,50,0.01,0.0040404257712862
SR-GNN,diginetica,popular,4092,freqrec,CREAT,recall,10,0.01,0.0042065135232837
SR-GNN,diginetica,popular,4092,freqrec,CREAT,recall,20,0.01,0.0150185678135988
SR-GNN,diginetica,popular,4092,freqrec,CREAT,recall,30,0.01,0.0327483650465016
SR-GNN,diginetica,popular,4092,freqrec,CREAT,recall,40,0.01,0.065578888560255
SR-GNN,diginetica,popular,4092,freqrec,CREAT,recall,50,0.01,0.1099280291826875
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,mrr,10,0.01,0.0010635609201122
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,mrr,20,0.01,0.0018888937531756
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,mrr,30,0.01,0.0027449776490509
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,mrr,40,0.01,0.003894321637322
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,mrr,50,0.01,0.0051889853825077
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,recall,10,0.01,0.0058989779486673
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,recall,20,0.01,0.0184363600512668
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,recall,30,0.01,0.0403891025009037
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,recall,40,0.01,0.0814683361267212
SR-GNN,diginetica,popular,4092,freqrec,DPSBR,recall,50,0.01,0.1403430937592428
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,mrr,10,0.01,0.0037011020189073
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,mrr,20,0.01,0.0042175149909052
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,mrr,30,0.01,0.0045958032009444
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,mrr,40,0.01,0.0049506805981746
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,mrr,50,0.01,0.0052634101488388
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,recall,10,0.01,0.0101383548588517
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,recall,20,0.01,0.0177790923132538
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,recall,30,0.01,0.0274244963685957
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,recall,40,0.01,0.0400276052449965
SR-GNN,diginetica,popular,4092,freqrec,Poisoning-SSL,recall,50,0.01,0.0542410200795294
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,mrr,10,0.01,0.0005963009389017
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,mrr,20,0.01,0.0011655709751843
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,mrr,30,0.01,0.0017604898081924
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,mrr,40,0.01,0.0024786070721337
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,mrr,50,0.01,0.0033374079584716
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,recall,10,0.01,0.0036478359459725
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,recall,20,0.01,0.0123894968615465
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,recall,30,0.01,0.0277038351572513
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,recall,40,0.01,0.053370140326662
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-C,recall,50,0.01,0.0925761608991422
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,mrr,10,0.01,0.0004903425982002
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,mrr,20,0.01,0.0010192286945417
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,mrr,30,0.01,0.0016109061862919
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,mrr,40,0.01,0.0023207628676771
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,mrr,50,0.01,0.0031778746656052
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,recall,10,0.01,0.0028426829669065
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,recall,20,0.01,0.0110256663051694
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,recall,30,0.01,0.0260935291991192
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,recall,40,0.01,0.0515462223536757
SR-GNN,diginetica,popular,4092,freqrec,TC-SACP-G,recall,50,0.01,0.0904893358309507
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,mrr,10,0.01,0.00008398421096833795
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,mrr,20,0.01,0.00009250750048022428
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,mrr,30,0.01,0.0001038759290197
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,mrr,40,0.01,0.0001259665627995
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,mrr,50,0.01,0.0001440369169299
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,recall,10,0.01,0.00009859016070196194
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,recall,20,0.01,0.0002300437083045
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,recall,30,0.01,0.0005422458838607
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,recall,40,0.01,0.0013145354760261
SR-GNN,diginetica,popular,4092,mdhg,CLEAN,recall,50,0.01,0.0021032567616418
SR-GNN,diginetica,popular,4092,mdhg,CREAT,mrr,10,0.01,0.00004027721049312295
SR-GNN,diginetica,popular,4092,mdhg,CREAT,mrr,20,0.01,0.00008482769601900698
SR-GNN,diginetica,popular,4092,mdhg,CREAT,mrr,30,0.01,0.0001001799827316
SR-GNN,diginetica,popular,4092,mdhg,CREAT,mrr,40,0.01,0.0001227739657941
SR-GNN,diginetica,popular,4092,mdhg,CREAT,mrr,50,0.01,0.0001440935166046
SR-GNN,diginetica,popular,4092,mdhg,CREAT,recall,10,0.01,0.0002464754017549
SR-GNN,diginetica,popular,4092,mdhg,CREAT,recall,20,0.01,0.0009037431397679
SR-GNN,diginetica,popular,4092,mdhg,CREAT,recall,30,0.01,0.0012816720891255
SR-GNN,diginetica,popular,4092,mdhg,CREAT,recall,40,0.01,0.0021032567616418
SR-GNN,diginetica,popular,4092,mdhg,CREAT,recall,50,0.01,0.0030727266752111
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,mrr,10,0.01,0.0001437447151239
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,mrr,20,0.01,0.0002081618167507
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,mrr,30,0.01,0.0002780521459659
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,mrr,40,0.01,0.0003493587317053
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,mrr,50,0.01,0.0004070551156564
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,recall,10,0.01,0.0005422458838607
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,recall,20,0.01,0.0015281474908804
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,recall,30,0.01,0.003269906996615
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,recall,40,0.01,0.005833251174866
SR-GNN,diginetica,popular,4092,mdhg,DPSBR,recall,50,0.01,0.0084787538203687
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,mrr,10,0.01,0.9984817115251902
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,mrr,20,0.01,0.998484344809397
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,mrr,30,0.01,0.9984851272709898
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,mrr,40,0.01,0.9984851272709898
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,mrr,50,0.01,0.9984855280440008
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,recall,10,0.01,0.9997699562916954
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,recall,20,0.01,0.999802819678596
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,recall,30,0.01,0.9998192513720464
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,recall,40,0.01,0.9998192513720464
SR-GNN,diginetica,popular,4092,mdhg,Poisoning-SSL,recall,50,0.01,0.9998356830654967
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,mrr,10,0.01,0.6216675351990227
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,mrr,20,0.01,0.6241376166653597
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,mrr,30,0.01,0.6246540734110444
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,mrr,40,0.01,0.6248616856653832
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,mrr,50,0.01,0.6249608932131434
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,recall,10,0.01,0.7928620723651779
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,recall,20,0.01,0.8271385849025601
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,recall,30,0.01,0.8397416937789609
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,recall,40,0.01,0.8469387755102041
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-C,recall,50,0.01,0.8514246278221433
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,mrr,10,0.01,0.0001840871307498
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,mrr,20,0.01,0.0003031675845042
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,mrr,30,0.01,0.000416284666441
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,mrr,40,0.01,0.0005310294644687
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,mrr,50,0.01,0.0006314881143513
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,recall,10,0.01,0.0009530382201189
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,recall,20,0.01,0.0027605244996549
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,recall,30,0.01,0.0056525025469124
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,recall,40,0.01,0.0097111308291432
SR-GNN,diginetica,popular,4092,mdhg,TC-SACP-G,recall,50,0.01,0.0143448683821354
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,mrr,10,0.01,0.0001078949331438
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,mrr,20,0.01,0.000150721609553
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,mrr,30,0.01,0.0002013990987907
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,mrr,40,0.01,0.0002085835156859
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,mrr,50,0.01,0.0002085835156859
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,recall,10,0.01,0.0002957704821058
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,recall,20,0.01,0.0010023333004699
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,recall,30,0.01,0.0022511420026947
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,recall,40,0.01,0.0024976174044497
SR-GNN,diginetica,popular,4092,miasrec,CLEAN,recall,50,0.01,0.0024976174044497
SR-GNN,diginetica,popular,4092,miasrec,CREAT,mrr,10,0.01,0.1029599674391593
SR-GNN,diginetica,popular,4092,miasrec,CREAT,mrr,20,0.01,0.1031594628991596
SR-GNN,diginetica,popular,4092,miasrec,CREAT,mrr,30,0.01,0.1031658538658045
SR-GNN,diginetica,popular,4092,miasrec,CREAT,mrr,40,0.01,0.1031703912538823
SR-GNN,diginetica,popular,4092,miasrec,CREAT,mrr,50,0.01,0.1031787239792499
SR-GNN,diginetica,popular,4092,miasrec,CREAT,recall,10,0.01,0.2615268329554044
SR-GNN,diginetica,popular,4092,miasrec,CREAT,recall,20,0.01,0.2639094285057018
SR-GNN,diginetica,popular,4092,miasrec,CREAT,recall,30,0.01,0.264073745440205
SR-GNN,diginetica,popular,4092,miasrec,CREAT,recall,40,0.01,0.2642380623747083
SR-GNN,diginetica,popular,4092,miasrec,CREAT,recall,50,0.01,0.2646159913240659
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,mrr,10,0.01,0.0346144055352363
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,mrr,20,0.01,0.0539975876209312
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,mrr,30,0.01,0.0626802716625393
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,mrr,40,0.01,0.0659516209835578
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,mrr,50,0.01,0.0674100167055693
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,recall,10,0.01,0.1601268526734365
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,recall,20,0.01,0.4520358868184955
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,recall,30,0.01,0.6672582076308784
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,recall,40,0.01,0.7808176410660883
SR-GNN,diginetica,popular,4092,miasrec,DPSBR,recall,50,0.01,0.8463636662394426
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,mrr,10,0.01,0.023684903759832
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,mrr,20,0.01,0.0272722591843216
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,mrr,30,0.01,0.0291500349514342
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,mrr,40,0.01,0.0304699706344185
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,mrr,50,0.01,0.0315625583018713
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,recall,10,0.01,0.072315882874889
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,recall,20,0.01,0.1253902527194452
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,recall,30,0.01,0.1726970981629366
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,recall,40,0.01,0.2191823589339117
SR-GNN,diginetica,popular,4092,miasrec,Poisoning-SSL,recall,50,0.01,0.2686417562193959
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,mrr,10,0.01,0.0553154963388623
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,mrr,20,0.01,0.0741379757562933
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,mrr,30,0.01,0.081479211548684
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,mrr,40,0.01,0.0849325873180687
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,mrr,50,0.01,0.0866485758041368
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,recall,10,0.01,0.2225179927043281
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,recall,20,0.01,0.499145551940583
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,recall,30,0.01,0.681258010450557
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,recall,40,0.01,0.8019487988432088
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-C,recall,50,0.01,0.878947714351441
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,mrr,10,0.01,0.0287335480929576
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,mrr,20,0.01,0.046872066062977
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,mrr,30,0.01,0.0544999722552755
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,mrr,40,0.01,0.057560495802287
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,mrr,50,0.01,0.0591391082139668
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,recall,10,0.01,0.1521081862696769
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,recall,20,0.01,0.4215550954681389
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,recall,30,0.01,0.6100430510368399
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,recall,40,0.01,0.716832626770515
SR-GNN,diginetica,popular,4092,miasrec,TC-SACP-G,recall,50,0.01,0.7878832692497288
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,mrr,10,0.01,0.00008918106004766757
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,mrr,20,0.01,0.0001200650332595
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,mrr,30,0.01,0.0001431510515133
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,mrr,40,0.01,0.0001621248871612
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,mrr,50,0.01,0.0001676583305445
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,recall,10,0.01,0.0002629070952052
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,recall,20,0.01,0.0007394262052647
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,recall,30,0.01,0.0013309671694764
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,recall,40,0.01,0.0019882349074895
SR-GNN,diginetica,popular,4092,srgnn,CLEAN,recall,50,0.01,0.0022347103092444
SR-GNN,diginetica,popular,4092,srgnn,CREAT,mrr,10,0.01,0.0534898569503715
SR-GNN,diginetica,popular,4092,srgnn,CREAT,mrr,20,0.01,0.0573201539231861
SR-GNN,diginetica,popular,4092,srgnn,CREAT,mrr,30,0.01,0.0583051333720291
SR-GNN,diginetica,popular,4092,srgnn,CREAT,mrr,40,0.01,0.0586981643531234
SR-GNN,diginetica,popular,4092,srgnn,CREAT,mrr,50,0.01,0.0588667310650262
SR-GNN,diginetica,popular,4092,srgnn,CREAT,recall,10,0.01,0.1554109566531926
SR-GNN,diginetica,popular,4092,srgnn,CREAT,recall,20,0.01,0.2108021952742449
SR-GNN,diginetica,popular,4092,srgnn,CREAT,recall,30,0.01,0.2350060797265766
SR-GNN,diginetica,popular,4092,srgnn,CREAT,recall,40,0.01,0.2487101120641493
SR-GNN,diginetica,popular,4092,srgnn,CREAT,recall,50,0.01,0.2562686910512997
SR-GNN,diginetica,popular,4092,srgnn,DPSBR,mrr,10,0.01,0.0553825989409648
SR-GNN,diginetica,popular,4092,srgnn,DPSBR,mrr,20,0.01,0.0629874992150908
SR-GNN,diginetica,popular,4092,srgnn,DPSBR,mrr,30,0.01,0.066512030479358
SR-GNN,diginetica,popular,4092,srgnn,DPSBR,mrr,40,0.01,0.0685217978287323
SR-GNN,diginetica,popular,4092,srgnn,DPSBR,mrr,50,0.01,0.0697839961396456
SR-GNN,diginetica,popular,4092,srgnn,DPSBR,recall,10,0.01,0.1552630714121397
SR-GNN,diginetica,popular,4092,srgnn,DPSBR,recall,20,0.01,0.2665056360708535
