surrogate_setting,dataset,target_type,target_item,victim_model,method,metric,k,attack_size,value
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,20,0.01,0.0192579447237832
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,30,0.01,0.0478655230208025
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,40,0.01,0.0862170955338657
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,50,0.01,0.1392586019915212
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,10,0.01,0.00005130339843935429
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,20,0.01,0.00007399567979330013
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,30,0.01,0.00007733490422738972
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,40,0.01,0.000078829609853748
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,50,0.01,0.00007988800861376738
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,recall,10,0.01,0.0004107923362581
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,recall,20,0.01,0.000755857898715
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,recall,30,0.01,0.0008380163659666
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,recall,40,0.01,0.0008873114463176
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,recall,50,0.01,0.0009366065266686
SR-GNN,diginetica,popular,1440,mdhg,CREAT,mrr,10,0.01,0.00001688812937950274
SR-GNN,diginetica,popular,1440,mdhg,CREAT,mrr,20,0.01,0.000027748300037765028
SR-GNN,diginetica,popular,1440,mdhg,CREAT,mrr,30,0.01,0.00004482325653002853
SR-GNN,diginetica,popular,1440,mdhg,CREAT,mrr,40,0.01,0.0000802255005493504
SR-GNN,diginetica,popular,1440,mdhg,CREAT,mrr,50,0.01,0.0001537208365441
SR-GNN,diginetica,popular,1440,mdhg,CREAT,recall,10,0.01,0.0001314535476026
SR-GNN,diginetica,popular,1440,mdhg,CREAT,recall,20,0.01,0.0002957704821058
SR-GNN,diginetica,popular,1440,mdhg,CREAT,recall,30,0.01,0.0007229945118143
SR-GNN,diginetica,popular,1440,mdhg,CREAT,recall,40,0.01,0.0020210982943902
SR-GNN,diginetica,popular,1440,mdhg,CREAT,recall,50,0.01,0.0053895954517072
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,mrr,10,0.01,0.0002297372441807
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,mrr,20,0.01,0.0003470158787663
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,mrr,30,0.01,0.0004618784608997
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,mrr,40,0.01,0.0005857085970607
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,mrr,50,0.01,0.0007111383852707
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,recall,10,0.01,0.0010680600742712
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,recall,20,0.01,0.0028591146603568
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,recall,30,0.01,0.0057839560945151
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,recall,40,0.01,0.0102205133261033
SR-GNN,diginetica,popular,1440,mdhg,DPSBR,recall,50,0.01,0.0158894475664662
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,mrr,10,0.01,0.0002752504268327
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,mrr,20,0.01,0.0004552205968527
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,mrr,30,0.01,0.000590168639952
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,mrr,40,0.01,0.0007073498364743
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,mrr,50,0.01,0.0008392199012434
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,recall,10,0.01,0.0016431693450326
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,recall,20,0.01,0.0043379670708863
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,recall,30,0.01,0.0077557593085543
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,recall,40,0.01,0.0119294094449373
SR-GNN,diginetica,popular,1440,mdhg,Poisoning-SSL,recall,50,0.01,0.0179598409412074
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,mrr,10,0.01,0.6238727532267322
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,mrr,20,0.01,0.6258274855366944
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,mrr,30,0.01,0.6263483065961073
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,mrr,40,0.01,0.6265635916910841
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,mrr,50,0.01,0.6266733324360115
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,recall,10,0.01,0.7673107890499195
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,recall,20,0.01,0.7949488974333695
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,recall,30,0.01,0.8077984817115252
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,recall,40,0.01,0.8153570606986756
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-C,recall,50,0.01,0.8203194321206744
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,mrr,10,0.01,0.999488856964456
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,mrr,20,0.01,0.9994899524106858
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,mrr,30,0.01,0.9994919263205272
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,mrr,40,0.01,0.9994919263205272
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,mrr,50,0.01,0.9994919263205272
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,recall,10,0.01,0.9995727759702916
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,recall,20,0.01,0.9995892076637418
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,recall,30,0.01,0.9996385027440928
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,recall,40,0.01,0.9996385027440928
SR-GNN,diginetica,popular,1440,mdhg,TC-SACP-G,recall,50,0.01,0.9996385027440928
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,mrr,10,0.01,0.000013510503503602192
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,mrr,20,0.01,0.00004485182594565173
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,mrr,30,0.01,0.000056347501156718576
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,mrr,40,0.01,0.0000578319218178796
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,mrr,50,0.01,0.0000586061424072797
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,recall,10,0.01,0.0001314535476026
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,recall,20,0.01,0.0005915409642117
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,recall,30,0.01,0.000854448059417
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,recall,40,0.01,0.0009037431397679
SR-GNN,diginetica,popular,1440,miasrec,CLEAN,recall,50,0.01,0.0009366065266686
SR-GNN,diginetica,popular,1440,miasrec,CREAT,mrr,10,0.01,0.0857899823528819
SR-GNN,diginetica,popular,1440,miasrec,CREAT,mrr,20,0.01,0.0934994972916389
SR-GNN,diginetica,popular,1440,miasrec,CREAT,mrr,30,0.01,0.0947573294315053
SR-GNN,diginetica,popular,1440,miasrec,CREAT,mrr,40,0.01,0.0951149413051
SR-GNN,diginetica,popular,1440,miasrec,CREAT,mrr,50,0.01,0.0951970275733178
