dataset,target_type,victim_model,surrogate,method,recall20_mean,recall20_std
yoochoose1_64,unpopular,wearec,N/A,CLEAN,0.00030770331675549205,0.000599049196490439
yoochoose1_64,popular,freqrec,SR-GNN,TC-SACP-C,0.11354789080110197,0.017837703185862683
yoochoose1_64,popular,mdhg,SR-GNN,TC-SACP-C,0.24532899209274034,0.240496853200401
yoochoose1_64,popular,miasrec,SR-GNN,TC-SACP-C,0.38146445311102367,0.0729595856274863
yoochoose1_64,popular,srgnn,SR-GNN,TC-SACP-C,0.43958638949515183,0.021634686789484627
yoochoose1_64,popular,tron,SR-GNN,TC-SACP-C,0.39090941684742664,0.1796309903027835
yoochoose1_64,popular,wearec,SR-GNN,TC-SACP-C,0.19841318115138282,0.041542971604883475
yoochoose1_64,unpopular,freqrec,SR-GNN,TC-SACP-C,0.12200794303910692,0.02778806543011944
yoochoose1_64,unpopular,mdhg,SR-GNN,TC-SACP-C,0.3170775340799313,0.3103206076865234
yoochoose1_64,unpopular,miasrec,SR-GNN,TC-SACP-C,0.39360442234069193,0.058470551034148326
yoochoose1_64,unpopular,srgnn,SR-GNN,TC-SACP-C,0.44739704461698093,0.013876282750061761
yoochoose1_64,unpopular,tron,SR-GNN,TC-SACP-C,0.28532527831059634,0.10198742478656378
yoochoose1_64,unpopular,wearec,SR-GNN,TC-SACP-C,0.2000805037747325,0.035327203721108334
yoochoose1_64,popular,freqrec,N/A,CREAT,0.11190024687824247,0.015603240974950423
yoochoose1_64,popular,mdhg,N/A,CREAT,0.32602776485741886,0.36273699738597104
yoochoose1_64,popular,miasrec,N/A,CREAT,0.27230670149200326,0.02013464672206147
yoochoose1_64,popular,srgnn,N/A,CREAT,0.2619825396257468,0.005840240676689999
yoochoose1_64,popular,tron,N/A,CREAT,0.4960507681551727,0.12610926376316398
yoochoose1_64,popular,wearec,N/A,CREAT,0.16309170274428417,0.03385491287194831
yoochoose1_64,unpopular,freqrec,N/A,CREAT,0.10757987763426238,0.01825107502555401
yoochoose1_64,unpopular,mdhg,N/A,CREAT,0.3915864610540627,0.41795780771369806
yoochoose1_64,unpopular,miasrec,N/A,CREAT,0.28407993130344555,0.05102688531589828
yoochoose1_64,unpopular,srgnn,N/A,CREAT,0.27913699953486704,0.05428020370120148
yoochoose1_64,unpopular,tron,N/A,CREAT,0.4636824839108689,0.10904838074938333
yoochoose1_64,unpopular,wearec,N/A,CREAT,0.16869297649289774,0.030469134327005046
yoochoose1_64,popular,freqrec,SR-GNN,TC-SACP-G,0.1281423306737271,0.031741709435826077
yoochoose1_64,popular,mdhg,SR-GNN,TC-SACP-G,0.43593509606783776,0.38865892060481155
yoochoose1_64,popular,miasrec,SR-GNN,TC-SACP-G,0.3938298329099431,0.03517303067505219
yoochoose1_64,popular,srgnn,SR-GNN,TC-SACP-G,0.412250885541522,0.011022230834351767
yoochoose1_64,popular,tron,SR-GNN,TC-SACP-G,0.6440456769983687,0.15312175172965156
yoochoose1_64,popular,wearec,SR-GNN,TC-SACP-G,0.21856238148055382,0.03970530463237973
yoochoose1_64,unpopular,freqrec,SR-GNN,TC-SACP-G,0.12178074349708394,0.028135068923857413
yoochoose1_64,unpopular,mdhg,SR-GNN,TC-SACP-G,0.5100468710866221,0.4209897244335701
yoochoose1_64,unpopular,miasrec,SR-GNN,TC-SACP-G,0.3791656230992164,0.09493302085732411
yoochoose1_64,unpopular,srgnn,SR-GNN,TC-SACP-G,0.4022451608286522,0.01723187889157805
yoochoose1_64,unpopular,tron,SR-GNN,TC-SACP-G,0.551167918541491,0.15056394109115243
yoochoose1_64,unpopular,wearec,SR-GNN,TC-SACP-G,0.23537693656302547,0.05688603266868225
yoochoose1_64,popular,freqrec,N/A,DPSBR,0.11503810512004002,0.03332983527884182
yoochoose1_64,popular,mdhg,N/A,DPSBR,0.3680077999212852,0.3327271760088657
yoochoose1_64,popular,miasrec,N/A,DPSBR,0.3690972843393323,0.08066669695962764
yoochoose1_64,popular,srgnn,N/A,DPSBR,0.3700937421732441,0.017656512257588373
yoochoose1_64,popular,tron,N/A,DPSBR,0.5565727909936719,0.11534603893820647
yoochoose1_64,popular,wearec,N/A,DPSBR,0.21161937815306447,0.036229859206659845
yoochoose1_64,unpopular,freqrec,N/A,DPSBR,0.13135532577194173,0.022439034836487768
yoochoose1_64,unpopular,mdhg,N/A,DPSBR,0.3641883430534187,0.3285622269367348
yoochoose1_64,unpopular,miasrec,N/A,DPSBR,0.3246395219864754,0.08454580045384719
yoochoose1_64,unpopular,srgnn,N/A,DPSBR,0.36507567354824855,0.018735984332374916
yoochoose1_64,unpopular,tron,N/A,DPSBR,0.4184733700231253,0.06020952960737707
yoochoose1_64,unpopular,wearec,N/A,DPSBR,0.22668431786468207,0.030228647480312332
diginetica,popular,freqrec,N/A,Poisoning-SSL,0.03785533537086328,0.02109002544963413
diginetica,popular,mdhg,N/A,Poisoning-SSL,0.6028344671201814,0.511929180812313
diginetica,popular,miasrec,N/A,Poisoning-SSL,0.221308620066384,0.09799143227668683
diginetica,popular,srgnn,N/A,Poisoning-SSL,0.11525518419928356,0.030601975988699955
diginetica,popular,tron,N/A,Poisoning-SSL,0.2749876762299122,0.14199089707088774
diginetica,popular,wearec,N/A,Poisoning-SSL,0.05621610963225866,0.026254807774047647
diginetica,unpopular,freqrec,N/A,Poisoning-SSL,0.030438068947385676,0.0036626765226524683
diginetica,unpopular,mdhg,N/A,Poisoning-SSL,0.6022527851720398,0.5132009825840759
diginetica,unpopular,miasrec,N/A,Poisoning-SSL,0.19333694830589238,0.040125255196480684
diginetica,unpopular,srgnn,N/A,Poisoning-SSL,0.09567024877583881,0.011777626474794491
diginetica,unpopular,tron,N/A,Poisoning-SSL,0.3553386572020112,0.05547581160345463
diginetica,unpopular,wearec,N/A,Poisoning-SSL,0.04535311709224748,0.011472814604647458
yoochoose1_64,popular,freqrec,N/A,Poisoning-SSL,0.266043507817811,0.12640598632717182
yoochoose1_64,popular,mdhg,N/A,Poisoning-SSL,0.4555028802461626,0.3878726679458171
yoochoose1_64,popular,miasrec,N/A,Poisoning-SSL,0.35073168986368025,0.10946377716869585
yoochoose1_64,popular,srgnn,N/A,Poisoning-SSL,0.3723299581380371,0.09930266529772087
yoochoose1_64,popular,tron,N/A,Poisoning-SSL,0.5097843429001667,0.05594357268203945
yoochoose1_64,popular,wearec,N/A,Poisoning-SSL,0.3186750867651794,0.11698371569222572
yoochoose1_64,unpopular,freqrec,N/A,Poisoning-SSL,0.08055923288847538,0.062301701853269845
yoochoose1_64,unpopular,mdhg,N/A,Poisoning-SSL,0.5197735160470858,0.5038609070250019
yoochoose1_64,unpopular,miasrec,N/A,Poisoning-SSL,0.131298078643243,0.08104634185636468
yoochoose1_64,unpopular,srgnn,N/A,Poisoning-SSL,0.14218218898708357,0.08463642559169092
yoochoose1_64,unpopular,tron,N/A,Poisoning-SSL,0.26518114837853823,0.15837645057608163
yoochoose1_64,unpopular,wearec,N/A,Poisoning-SSL,0.12003828401731723,0.10423823869186702
diginetica,popular,freqrec,MDHG,TC-SACP-C,0.01729928686450421,0.0025861441597837646
diginetica,popular,mdhg,MDHG,TC-SACP-C,0.5801439416346248,0.39691403590810376
diginetica,popular,miasrec,MDHG,TC-SACP-C,0.5827943737881627,0.06872284741888243
diginetica,popular,srgnn,MDHG,TC-SACP-C,0.29797561536691963,0.023123212935594172
diginetica,popular,tron,MDHG,TC-SACP-C,0.1083029347004502,0.08032234546383929
diginetica,popular,wearec,MDHG,TC-SACP-C,0.04449209635545036,0.005561663956866398
diginetica,unpopular,freqrec,MDHG,TC-SACP-C,0.013892996812251429,0.0024449718136012304
diginetica,unpopular,mdhg,MDHG,TC-SACP-C,0.5115498373262348,0.43521341171220607
diginetica,unpopular,miasrec,MDHG,TC-SACP-C,0.5501906076440238,0.05912621086871272
diginetica,unpopular,srgnn,MDHG,TC-SACP-C,0.2853429294423083,0.022752828524698704
diginetica,unpopular,tron,MDHG,TC-SACP-C,0.08212396069538923,0.04121536151836873
diginetica,unpopular,wearec,MDHG,TC-SACP-C,0.04706529954977156,0.0077247138765047145
diginetica,popular,freqrec,MDHG,TC-SACP-G,0.03375398468566166,0.006553894677317536
diginetica,popular,mdhg,MDHG,TC-SACP-G,0.6323310000328635,0.4626063969138387
diginetica,popular,miasrec,MDHG,TC-SACP-G,0.30472411186696896,0.017158430765658036
diginetica,popular,srgnn,MDHG,TC-SACP-G,0.19195668605606492,0.007454797122196145
diginetica,popular,tron,MDHG,TC-SACP-G,0.22459167241775937,0.23067402742765206
diginetica,popular,wearec,MDHG,TC-SACP-G,0.06658122186072493,0.007752416548837883
diginetica,unpopular,freqrec,MDHG,TC-SACP-G,0.03281409182030294,0.003579302457244364
diginetica,unpopular,mdhg,MDHG,TC-SACP-G,0.5344013934076045,0.48325064233387266
diginetica,unpopular,miasrec,MDHG,TC-SACP-G,0.32839232311281996,0.04588795102882508
diginetica,unpopular,srgnn,MDHG,TC-SACP-G,0.18796871405567056,0.008269487965500298
diginetica,unpopular,tron,MDHG,TC-SACP-G,0.25362976108317714,0.40281331684170085
diginetica,unpopular,wearec,MDHG,TC-SACP-G,0.07027670971770347,0.013296807395974846
yoochoose1_64,popular,freqrec,MDHG,TC-SACP-C,0.13320333464524664,0.034102811726848405
yoochoose1_64,popular,mdhg,MDHG,TC-SACP-C,0.46585745464954026,0.2616446219335906
yoochoose1_64,popular,miasrec,MDHG,TC-SACP-C,0.4319224301406132,0.06713027788806247
yoochoose1_64,popular,srgnn,MDHG,TC-SACP-C,0.3888046083938602,0.01623538365619985
yoochoose1_64,popular,tron,MDHG,TC-SACP-C,0.3061058028431601,0.06805550023928711
yoochoose1_64,popular,wearec,MDHG,TC-SACP-C,0.21668574904289956,0.08170876929503267
yoochoose1_64,unpopular,freqrec,MDHG,TC-SACP-C,0.11718129450069767,0.01899060637497115
yoochoose1_64,unpopular,mdhg,MDHG,TC-SACP-C,0.5403377580593223,0.2740774534366882
yoochoose1_64,unpopular,miasrec,MDHG,TC-SACP-C,0.42769150953522483,0.055172126824392036
yoochoose1_64,unpopular,srgnn,MDHG,TC-SACP-C,0.3968156284661347,0.022672053459529287
yoochoose1_64,unpopular,tron,MDHG,TC-SACP-C,0.3295233314809171,0.10029942288477126
yoochoose1_64,unpopular,wearec,MDHG,TC-SACP-C,0.2299134137178432,0.045382068089856786
yoochoose1_64,popular,freqrec,MDHG,TC-SACP-G,0.22366632079859744,0.041145928883248244
yoochoose1_64,popular,mdhg,MDHG,TC-SACP-G,0.7161973594761888,0.21510978150507054
yoochoose1_64,popular,miasrec,MDHG,TC-SACP-G,0.3676661061218648,0.05860264543234861
yoochoose1_64,popular,srgnn,MDHG,TC-SACP-G,0.3856023471322766,0.017612509775524074
yoochoose1_64,popular,tron,MDHG,TC-SACP-G,0.5452037359052041,0.14102290176115645
yoochoose1_64,popular,wearec,MDHG,TC-SACP-G,0.41930659415363697,0.07384094583116911
yoochoose1_64,unpopular,freqrec,MDHG,TC-SACP-G,0.243160757093277,0.055516578268744336
yoochoose1_64,unpopular,mdhg,MDHG,TC-SACP-G,0.7534920748506208,0.23437473608265513
yoochoose1_64,unpopular,miasrec,MDHG,TC-SACP-G,0.37785967297577727,0.049392416338951965
yoochoose1_64,unpopular,srgnn,MDHG,TC-SACP-G,0.37000071558910874,0.019415775788022463
yoochoose1_64,unpopular,tron,MDHG,TC-SACP-G,0.5540863703995841,0.07409982213091301
yoochoose1_64,unpopular,wearec,MDHG,TC-SACP-G,0.3547944470285162,0.06812732884973774
diginetica,popular,freqrec,FreqRec,TC-SACP-G,0.02045581517631202,0.0018818007888294719
diginetica,popular,mdhg,FreqRec,TC-SACP-G,0.30225278517203974,0.4814322599163012
diginetica,popular,miasrec,FreqRec,TC-SACP-G,0.5687025534851622,0.07915862747042347
diginetica,popular,srgnn,FreqRec,TC-SACP-G,0.24391041440730882,0.00902942594926923
diginetica,popular,tron,FreqRec,TC-SACP-G,0.22416444838805086,0.09923077251144527
diginetica,popular,wearec,FreqRec,TC-SACP-G,0.04366886851358895,0.007769166935776793
diginetica,unpopular,freqrec,FreqRec,TC-SACP-G,0.02048867856321268,0.0037282804745165333
diginetica,unpopular,mdhg,FreqRec,TC-SACP-G,0.40098261526832946,0.5155274064977194
diginetica,unpopular,miasrec,FreqRec,TC-SACP-G,0.5496598639455782,0.0738760209965372
diginetica,unpopular,srgnn,FreqRec,TC-SACP-G,0.2515873015873016,0.012134391074397977
diginetica,unpopular,tron,FreqRec,TC-SACP-G,0.19216043905484897,0.09097977888138777
diginetica,unpopular,wearec,FreqRec,TC-SACP-G,0.04417332150251402,0.013852925815938753
yoochoose1_64,popular,freqrec,FreqRec,TC-SACP-G,0.16353536799169913,0.017461651273089948
yoochoose1_64,popular,mdhg,FreqRec,TC-SACP-G,0.43049482986868937,0.3908666537149664
yoochoose1_64,popular,miasrec,FreqRec,TC-SACP-G,0.39243622312068405,0.04761787478347594
yoochoose1_64,popular,srgnn,FreqRec,TC-SACP-G,0.3510841174997316,0.01835665155866569
yoochoose1_64,popular,tron,FreqRec,TC-SACP-G,0.6066113332018715,0.13993945067031388
yoochoose1_64,popular,wearec,FreqRec,TC-SACP-G,0.23858814268846823,0.03586375707571061
yoochoose1_64,unpopular,freqrec,FreqRec,TC-SACP-G,0.1603152170023972,0.011035128373409002
yoochoose1_64,unpopular,mdhg,FreqRec,TC-SACP-G,0.6708719453289921,0.4242396406546325
yoochoose1_64,unpopular,miasrec,FreqRec,TC-SACP-G,0.3870979283695302,0.049754947552031505
