surrogate_setting,dataset,target_type,victim_model,method,metric,k,mean,std,count
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,mrr,20,0.0013971927448475099,0.0003779106161625777,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,mrr,30,0.00224373160087497,0.0006450330700190349,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,mrr,40,0.00319590849063393,0.0009021680256426237,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,mrr,50,0.0042855913848600605,0.0011384210292840135,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,recall,10,0.0039912583390843805,0.0010488990607666901,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,recall,20,0.014864109895165761,0.004130538310211483,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,recall,30,0.03652765454007684,0.010992856134885048,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,recall,40,0.07038351572513057,0.020108171351967432,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-G,recall,50,0.12002366163856844,0.03095813920517578,10
SR-GNN,diginetica,popular,mdhg,CLEAN,mrr,10,0.00014172857241967352,0.0001450297826856153,10
SR-GNN,diginetica,popular,mdhg,CLEAN,mrr,20,0.00020636512922689535,0.00024974453819073177,10
SR-GNN,diginetica,popular,mdhg,CLEAN,mrr,30,0.00024156953752526162,0.00031603962059132323,10
SR-GNN,diginetica,popular,mdhg,CLEAN,mrr,40,0.0002652108152257848,0.0003532322720741412,10
SR-GNN,diginetica,popular,mdhg,CLEAN,mrr,50,0.00028148684587026674,0.0003734629797851998,10
SR-GNN,diginetica,popular,mdhg,CLEAN,recall,10,0.0005718229320713362,0.0006819009800457024,10
SR-GNN,diginetica,popular,mdhg,CLEAN,recall,20,0.00153964967629559,0.0022918930370277794,10
SR-GNN,diginetica,popular,mdhg,CLEAN,recall,30,0.0024351769693384097,0.003940918625960291,10
SR-GNN,diginetica,popular,mdhg,CLEAN,recall,40,0.0032616911498898602,0.0052497210500721,10
SR-GNN,diginetica,popular,mdhg,CLEAN,recall,50,0.00399454467777445,0.0061755699848359625,10
