dataset,target_type,target_item,victim_model,method,attack_size,recall20
diginetica,popular,14514,srgnn,CREAT,0.005,0.12787143843044463
diginetica,popular,14514,tron,CREAT,0.005,0
diginetica,popular,14514,wearec,CREAT,0.005,0.025682736862861086
diginetica,popular,32614,freqrec,CREAT,0.005,0.005208846823753656
diginetica,popular,32614,mdhg,CREAT,0.005,0.7298629596766243
diginetica,popular,32614,miasrec,CREAT,0.005,0.28180354267310787
diginetica,popular,32614,srgnn,CREAT,0.005,0.1430050280981958
diginetica,popular,32614,tron,CREAT,0.005,0.0044694206184889415
diginetica,popular,32614,wearec,CREAT,0.005,0.021821288902034244
diginetica,popular,3316,freqrec,CREAT,0.005,0.0029905682079595123
diginetica,popular,3316,mdhg,CREAT,0.005,0.00009859016070196194
diginetica,popular,3316,miasrec,CREAT,0.005,0.28597719280949097
diginetica,popular,3316,srgnn,CREAT,0.005,0.14223273850603044
diginetica,popular,3316,tron,CREAT,0.005,0
diginetica,popular,3316,wearec,CREAT,0.005,0.029889250386144796
diginetica,popular,39588,freqrec,CREAT,0.005,0.006506950606329488
diginetica,popular,39588,mdhg,CREAT,0.005,0.00011502185415228893
diginetica,popular,39588,miasrec,CREAT,0.005,0.3638634197640409
diginetica,popular,39588,srgnn,CREAT,0.005,0.13063196293009957
diginetica,popular,39588,tron,CREAT,0.005,0.10457129711788096
diginetica,popular,39588,wearec,CREAT,0.005,0.021164021164021163
diginetica,popular,4092,freqrec,CREAT,0.005,0.007377830359196819
diginetica,popular,4092,mdhg,CREAT,0.005,0.00011502185415228893
diginetica,popular,4092,miasrec,CREAT,0.005,0.2664070459101515
diginetica,popular,4092,srgnn,CREAT,0.005,0.15210818626967695
diginetica,popular,4092,tron,CREAT,0.005,0
diginetica,popular,4092,wearec,CREAT,0.005,0.02466397186894081
diginetica,popular,5334,freqrec,CREAT,0.005,0.004222945216734037
diginetica,popular,5334,mdhg,CREAT,0.005,0.00011502185415228893
diginetica,popular,5334,miasrec,CREAT,0.005,0.33198593447040653
diginetica,popular,5334,srgnn,CREAT,0.005,0.09323342863715535
diginetica,popular,5334,tron,CREAT,0.005,0.11820960268165237
diginetica,popular,5334,wearec,CREAT,0.005,0.011978704525288377
diginetica,popular,5418,freqrec,CREAT,0.005,0.003154885142462782
diginetica,popular,5418,mdhg,CREAT,0.005,0.00019718032140392388
diginetica,popular,5418,miasrec,CREAT,0.005,0.41987906273620557
diginetica,popular,5418,srgnn,CREAT,0.005,0.10330605672220579
diginetica,popular,5418,tron,CREAT,0.005,0.2396233855861185
diginetica,popular,5418,wearec,CREAT,0.005,0.017335436590094976
diginetica,popular,9496,freqrec,CREAT,0.005,0.0051924151303033295
diginetica,popular,9496,mdhg,CREAT,0.005,0.40180419994084593
diginetica,popular,9496,miasrec,CREAT,0.005,0.27409707844490455
diginetica,popular,9496,srgnn,CREAT,0.005,0.1366788261198199
diginetica,popular,9496,tron,CREAT,0.005,0
diginetica,popular,9496,wearec,CREAT,0.005,0.033865720201123925
diginetica,popular,11103,freqrec,TC-SACP-G,0.005,0.0030562949817608204
diginetica,popular,11103,mdhg,TC-SACP-G,0.005,0.001988234907489566
diginetica,popular,11103,miasrec,TC-SACP-G,0.005,0.403217325577574
diginetica,popular,11103,srgnn,TC-SACP-G,0.005,0.17006802721088435
diginetica,popular,11103,tron,TC-SACP-G,0.005,0.13700745998882644
