dataset,target_type,victim_model,method,attack_size,recall20_mean
diginetica,unpopular,tron,Poisoning-SSL,0.005,0.2992572874560452
diginetica,unpopular,tron,TC-SACP-G,0.005,0.0578247724210457
diginetica,unpopular,tron,TC-SACP-C,0.005,0.0380377271681619
yoochoose1_64,popular,tron,DPSBR,0.005,0.7748059444633669
yoochoose1_64,popular,tron,CREAT,0.005,0.696258716813366
yoochoose1_64,popular,tron,Poisoning-SSL,0.005,0.64847354928921
yoochoose1_64,popular,tron,TC-SACP-G,0.005,0.5982754602656724
yoochoose1_64,popular,tron,TC-SACP-C,0.005,0.5248247674022551
yoochoose1_64,unpopular,tron,DPSBR,0.005,0.7980728895900184
yoochoose1_64,unpopular,tron,CREAT,0.005,0.71939659035907
yoochoose1_64,unpopular,tron,Poisoning-SSL,0.005,0.4439667999211229
yoochoose1_64,unpopular,tron,TC-SACP-G,0.005,0.6083627628488967
yoochoose1_64,unpopular,tron,TC-SACP-C,0.005,0.5082426545721814
diginetica,popular,wearec,DPSBR,0.005,0.0192250813368825
diginetica,popular,wearec,CREAT,0.005,0.0232639915869729
diginetica,popular,wearec,Poisoning-SSL,0.005,0.0355220349009168
diginetica,popular,wearec,TC-SACP-G,0.005,0.0194633408919123
diginetica,popular,wearec,TC-SACP-C,0.005,0.0213201222517992
diginetica,unpopular,wearec,DPSBR,0.005,0.0172828551710539
diginetica,unpopular,wearec,CREAT,0.005,0.0227513227513227
diginetica,unpopular,wearec,Poisoning-SSL,0.005,0.0271780209668408
diginetica,unpopular,wearec,TC-SACP-G,0.005,0.0171431857767261
diginetica,unpopular,wearec,TC-SACP-C,0.005,0.0195356403430937
yoochoose1_64,popular,wearec,DPSBR,0.005,0.1260062971841568
yoochoose1_64,popular,wearec,CREAT,0.005,0.0723013345736877
yoochoose1_64,popular,wearec,Poisoning-SSL,0.005,0.226534044151848
yoochoose1_64,popular,wearec,TC-SACP-G,0.005,0.1163261655157608
yoochoose1_64,popular,wearec,TC-SACP-C,0.005,0.0759222154638806
yoochoose1_64,unpopular,wearec,DPSBR,0.005,0.0852552864145407
yoochoose1_64,unpopular,wearec,CREAT,0.005,0.064725034884969
yoochoose1_64,unpopular,wearec,Poisoning-SSL,0.005,0.0704819492647321
yoochoose1_64,unpopular,wearec,TC-SACP-G,0.005,0.1086282156785573
yoochoose1_64,unpopular,wearec,TC-SACP-C,0.005,0.070430069054349
diginetica,popular,freqrec,TC-SACP-C,0.01,0.01692628742318178
diginetica,popular,mdhg,TC-SACP-C,0.01,0.42699891550823227
diginetica,popular,miasrec,TC-SACP-C,0.01,0.5921916592724046
diginetica,popular,srgnn,TC-SACP-C,0.01,0.32180485720858387
diginetica,popular,tron,TC-SACP-C,0.01,0.05460909001281668
diginetica,popular,wearec,TC-SACP-C,0.01,0.0450885668276972
diginetica,popular,freqrec,CREAT,0.01,0.015230536659108049
diginetica,popular,mdhg,CREAT,0.01,0.09386111932695777
diginetica,popular,miasrec,CREAT,0.01,0.35775082980051925
diginetica,popular,srgnn,CREAT,0.01,0.20413092773341215
diginetica,popular,tron,CREAT,0.01,0.01648427486936798
diginetica,popular,wearec,CREAT,0.01,0.05808603634690586
diginetica,popular,freqrec,TC-SACP-G,0.01,0.014864109895165761
diginetica,popular,mdhg,TC-SACP-G,0.01,0.5002924841434158
diginetica,popular,miasrec,TC-SACP-G,0.01,0.5475270301357258
diginetica,popular,srgnn,TC-SACP-G,0.01,0.2903217325577574
diginetica,popular,tron,TC-SACP-G,0.01,0.3104341253409576
diginetica,popular,wearec,TC-SACP-G,0.01,0.04587564494396787
