dataset,target_type,action,mean_percent,std_percent,target_count
diginetica,popular,generate,44.00984766887213,13.015664982221935,10
diginetica,popular,keep,31.918756731804894,13.578448535845945,10
diginetica,popular,stop,24.071395599322972,5.389107212760043,10
diginetica,unpopular,generate,37.39498384366826,4.553726891346139,10
diginetica,unpopular,keep,39.63840590860132,6.180816613666325,10
diginetica,unpopular,stop,22.966610247730422,5.740090209937804,10
yoochoose1_64,popular,generate,31.43862871135598,11.655976427381338,10
yoochoose1_64,popular,keep,41.60085705540251,20.10875861464707,10
yoochoose1_64,popular,stop,26.960514233241508,17.831054975966072,10
yoochoose1_64,unpopular,generate,36.28711355984083,9.911141852151793,10
yoochoose1_64,unpopular,keep,36.942148760330575,9.019008228629074,10
yoochoose1_64,unpopular,stop,26.770737679828592,4.554196591636452,10
