dataset,target_type,target_item,victim_model,metric,k,value,method
diginetica,popular,1440,freqrec,recall,10,0.003697131026323573,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,recall,20,0.012915311051957014,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,recall,30,0.031088764008018667,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,recall,40,0.06099444608761379,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,recall,50,0.10682243912057576,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,mrr,10,0.0006014065007952423,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,mrr,20,0.0011897227848997642,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,mrr,30,0.0018968903962049003,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,mrr,40,0.0027334275433486183,TC-SACP-G w/o Sur.
diginetica,popular,1440,freqrec,mrr,50,0.0037386175053188667,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,recall,10,0.9980774918663118,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,recall,20,0.998143218640113,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,recall,30,0.9981760820270137,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,recall,40,0.9981760820270137,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,recall,50,0.9982089454139144,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,mrr,10,0.9979986197377502,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,mrr,20,0.998002972711443,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,mrr,30,0.9980043871612456,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,mrr,40,0.9980043871612456,TC-SACP-G w/o Sur.
diginetica,popular,1440,mdhg,mrr,50,0.998005104634334,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,recall,10,0.24305760951723684,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,recall,20,0.5993624502941273,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,recall,30,0.7934371816359393,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,recall,40,0.8973183476289066,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,recall,50,0.9443294225902922,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,mrr,10,0.057610808298475244,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,mrr,20,0.08188654863697208,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,mrr,30,0.08977053889625444,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,mrr,40,0.09276700588956355,TC-SACP-G w/o Sur.
diginetica,popular,1440,miasrec,mrr,50,0.09382292819124248,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,recall,10,0.166683098360117,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,recall,20,0.2767590127838575,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,recall,30,0.36688685135890103,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,recall,40,0.43713234085904895,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,recall,50,0.49461040454829275,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,mrr,10,0.060396723676818635,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,mrr,20,0.06793514553605405,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,mrr,30,0.07153725254373415,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,mrr,40,0.07354392523074511,TC-SACP-G w/o Sur.
diginetica,popular,1440,srgnn,mrr,50,0.07481965081133683,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,recall,10,0.029741365145091854,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,recall,20,0.08321009563245588,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,recall,30,0.15053074369844557,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,recall,40,0.230602385881889,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,recall,50,0.31152847612474943,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,mrr,10,0.0072801465498399396,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,mrr,20,0.010791422181922222,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,mrr,30,0.013457407016691968,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,mrr,40,0.01572345702576236,TC-SACP-G w/o Sur.
diginetica,popular,1440,tron,mrr,50,0.01750907040400136,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,recall,10,0.012981037825758322,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,recall,20,0.039206020572480196,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,recall,30,0.08368661474251536,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,recall,40,0.17810312530809425,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,recall,50,0.31271155805317297,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,mrr,10,0.004691059385183403,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,mrr,20,0.006365778706471236,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,mrr,30,0.008094228971032813,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,mrr,40,0.010726942404367721,TC-SACP-G w/o Sur.
diginetica,popular,1440,wearec,mrr,50,0.013691363589306414,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,recall,10,0.006999901409839298,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,recall,20,0.024335337999934273,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,recall,30,0.056919386111932695,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,recall,40,0.11173551546222353,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,recall,50,0.1895231522560715,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,mrr,10,0.0013126966912829123,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,mrr,20,0.0024158124913453774,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,mrr,30,0.0036938540691998007,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,mrr,40,0.005231402804950929,TC-SACP-G w/o Sur.
diginetica,popular,14514,freqrec,mrr,50,0.00694395454954861,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,recall,10,0.0011337868480725624,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,recall,20,0.003582109172171284,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,recall,30,0.008265141805514476,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,recall,40,0.014180551447632193,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,recall,50,0.024713266949291796,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,mrr,10,0.00019883653177550433,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,mrr,20,0.00035589931952367137,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,mrr,30,0.0005373307507122622,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,mrr,40,0.00070219370774285,TC-SACP-G w/o Sur.
diginetica,popular,14514,mdhg,mrr,50,0.0009344646345156799,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,recall,10,0.21492655033027705,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,recall,20,0.5605836537513557,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,recall,30,0.7810805481612935,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,recall,40,0.8735909822866345,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,recall,50,0.9133063853560748,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,mrr,10,0.047804314962699754,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,mrr,20,0.0710124980614992,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,mrr,30,0.07999687461381108,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,mrr,40,0.08266679690315361,TC-SACP-G w/o Sur.
diginetica,popular,14514,miasrec,mrr,50,0.08355443616462542,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,recall,10,0.1382069736107003,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,recall,20,0.23844030365769497,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,recall,30,0.31905419172499916,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,recall,40,0.3856025501988235,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,recall,50,0.44079660849847185,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,mrr,10,0.04969964559706294,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,mrr,20,0.05649868775018905,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,mrr,30,0.059714145467356664,TC-SACP-G w/o Sur.
diginetica,popular,14514,srgnn,mrr,40,0.06160684867283153,TC-SACP-G w/o Sur.
