surrogate_setting,method,metric,k,mean_rank
FreqRec,TC-SACP-C,mrr,40,3.2916666666666665
FreqRec,TC-SACP-C,mrr,50,3.0833333333333335
FreqRec,TC-SACP-C,recall,10,3.4166666666666665
FreqRec,TC-SACP-C,recall,20,2.75
FreqRec,TC-SACP-C,recall,30,2.5
FreqRec,TC-SACP-C,recall,40,2.1666666666666665
FreqRec,TC-SACP-C,recall,50,2
FreqRec,CREAT,mrr,10,2.9166666666666665
FreqRec,CREAT,mrr,20,3.2916666666666665
FreqRec,CREAT,mrr,30,3.4166666666666665
FreqRec,CREAT,mrr,40,3.5
FreqRec,CREAT,mrr,50,3.5
FreqRec,CREAT,recall,10,3.2083333333333335
FreqRec,CREAT,recall,20,4.041666666666667
FreqRec,CREAT,recall,30,4.166666666666667
FreqRec,CREAT,recall,40,4.166666666666667
FreqRec,CREAT,recall,50,4.25
FreqRec,TC-SACP-G,mrr,10,2.5416666666666665
FreqRec,TC-SACP-G,mrr,20,2.4166666666666665
FreqRec,TC-SACP-G,mrr,30,2.375
FreqRec,TC-SACP-G,mrr,40,2.2083333333333335
FreqRec,TC-SACP-G,mrr,50,2.375
FreqRec,TC-SACP-G,recall,10,2.5833333333333335
FreqRec,TC-SACP-G,recall,20,2.2083333333333335
FreqRec,TC-SACP-G,recall,30,2.0833333333333335
FreqRec,TC-SACP-G,recall,40,2.1666666666666665
FreqRec,TC-SACP-G,recall,50,2.375
FreqRec,Poisoning-SSL,mrr,10,2.375
FreqRec,Poisoning-SSL,mrr,20,2.625
FreqRec,Poisoning-SSL,mrr,30,2.6666666666666665
FreqRec,Poisoning-SSL,mrr,40,2.7916666666666665
FreqRec,Poisoning-SSL,mrr,50,2.9166666666666665
FreqRec,Poisoning-SSL,recall,10,2.4166666666666665
FreqRec,Poisoning-SSL,recall,20,3
FreqRec,Poisoning-SSL,recall,30,3.3333333333333335
FreqRec,Poisoning-SSL,recall,40,3.5416666666666665
FreqRec,Poisoning-SSL,recall,50,3.6666666666666665
FreqRec,DPSBR,mrr,10,3.5416666666666665
FreqRec,DPSBR,mrr,20,3.25
FreqRec,DPSBR,mrr,30,3.2083333333333335
FreqRec,DPSBR,mrr,40,3.2083333333333335
FreqRec,DPSBR,mrr,50,3.125
FreqRec,DPSBR,recall,10,3.375
FreqRec,DPSBR,recall,20,3
FreqRec,DPSBR,recall,30,2.9166666666666665
FreqRec,DPSBR,recall,40,2.9583333333333335
FreqRec,DPSBR,recall,50,2.7083333333333335
